Wall time,Step,Value
1689312408.3516648,576636,1427.5
1689312438.4079816,580480,1429.9300537109375
1689312440.2674546,580720,1429.9300537109375
1689312441.8767717,580920,1428.77001953125
1689312443.727469,581148,1429.1199951171875
1689312459.8451679,583240,1448.27001953125
1689312465.2168279,583932,1464.6400146484375
1689312483.3842623,586268,1486.8800048828125
1689312489.6327665,587080,1486.8800048828125
1689312516.788796,590552,1474.5999755859375
1689312545.6485403,594248,1499.06005859375
1689312590.1739168,599940,1512.800048828125
1689312602.20835,601472,1523.4200439453125
1689312623.0088303,604144,1526.7900390625
1689312642.4244633,606624,1551.1800537109375
1689312648.3511078,607364,1547.6400146484375
1689312660.8307855,608960,1547.9300537109375
1689312662.5483177,609168,1555.8299560546875
1689312688.496797,612428,1555.47998046875
1689312690.422543,612672,1564.6600341796875
1689312719.7364135,616388,1573.4599609375
1689312749.6450918,620188,1592.010009765625
1689312751.952305,620488,1592.3499755859375
1689312755.188309,620912,1592.3499755859375
1689312756.7095475,621092,1587.989990234375
1689312791.672133,625560,1581.5899658203125
1689312857.1392422,633948,1615.010009765625
1689312866.5936482,635148,1626.3499755859375
1689312870.8260937,635692,1622.8499755859375
1689312877.018626,636484,1631.8900146484375
1689312884.4140234,637432,1628.9100341796875
1689312894.5400245,638728,1635.9300537109375
1689312899.953627,639396,1636.27001953125
1689312902.3007395,639700,1636.27001953125
1689312949.3126686,645696,1650.530029296875
1689312977.167631,649248,1681.47998046875
1689313008.9513254,653292,1701.18994140625
1689313021.7208183,654928,1707.510009765625
1689313023.9446611,655204,1704.1400146484375
1689313063.4476967,660248,1740.260009765625
1689313099.8791525,664888,1766.5999755859375
1689313103.1598296,665312,1766.5999755859375
1689313109.7790012,666136,1793.6600341796875
1689313115.943332,666928,1793.050048828125
1689313124.1929452,667976,1793.72998046875
1689313126.6341863,668276,1808.260009765625
1689313128.4026282,668504,1808.260009765625
1689313149.7091138,671240,1814.25
1689313154.6211743,671864,1809.25
1689313197.1093926,677272,1790.3699951171875
1689313201.043862,677776,1790.3699951171875
1689313206.7590334,678488,1788.9200439453125
1689313217.8769112,679908,1786.469970703125
1689313226.8249815,681052,1786.4599609375
1689313296.07882,689920,1848.2900390625
1689313325.6208696,693628,1866.969970703125
1689313376.264873,700104,1921.43994140625
1689313404.656182,703724,1939.81005859375
1689313411.192738,704560,1933.47998046875
1689313438.5885022,708120,1951.0899658203125
1689313466.0857806,711624,1950.31005859375
1689313475.1252215,712784,1953.8399658203125
1689313570.9743588,724928,2009.52001953125
1689313590.0701027,727364,2035.6600341796875
1689313596.0332189,728120,2025.3599853515625
1689313609.3002658,729808,2030.9100341796875
1689313625.790191,731892,2004.5999755859375
1689313653.6093009,735412,2005.449951171875
1689313658.837839,736072,1996.77001953125
1689313668.6033623,737320,1991.93994140625
1689313725.0768127,744460,2039.280029296875
1689313737.6824315,746056,2027.969970703125
1689313767.7391648,749860,2018.260009765625
1689313794.9150105,753312,2017.510009765625
1689313813.1931715,755632,2024.030029296875
1689313830.3111544,757824,2037.5799560546875
1689313888.7054062,765180,2012.050048828125
1689313901.9923582,766880,1994.300048828125
1689313906.9953766,767504,1990.6300048828125
1689313928.8303778,770240,1949.1700439453125
1689313943.6200106,772100,1940.010009765625
1689313958.805627,774008,1931.7099609375
1689313979.085861,776556,1935.3900146484375
1689313999.3864026,779096,1949.489990234375
1689314119.2460485,794276,1961.31005859375
1689314144.7674234,797472,1966.9100341796875
1689314207.577557,805448,2009.75
1689314224.469942,807564,2005.1500244140625
1689314242.4192307,809820,2001.5999755859375
1689314252.8269913,811124,2014.9300537109375
1689314327.8130164,820564,2106.93994140625
1689314360.2590075,824644,2127.760009765625
1689314395.928558,829152,2140.659912109375
1689314428.34332,833216,2161.159912109375
1689314431.4838445,833608,2167.360107421875
1689314441.2948568,834844,2163.3798828125
1689314485.885649,840488,2214.68994140625
1689314545.5673795,847988,2267.10009765625
1689314593.4572809,853976,2287.75
1689314614.8636513,856660,2254.139892578125
1689314623.4548335,857744,2257.429931640625
1689314647.4814181,860744,2247.75
1689314687.2575316,865752,2307.3701171875
1689314699.970832,867360,2309.81005859375
1689314711.6634603,868828,2310.610107421875
1689314715.5459287,869304,2318.8701171875
1689314729.4798758,871044,2291.72998046875
1689314806.9230707,880684,2321.320068359375
1689314813.0393453,881452,2328.280029296875
1689314881.230458,889944,2411.050048828125
1689314969.8105817,901044,2486.02001953125
1689314989.416753,903504,2477.860107421875
1689315009.0455754,905944,2459.0
1689315032.4823928,908860,2459.60009765625
1689315065.8668883,913016,2448.030029296875
1689315194.2766888,928936,2495.68994140625
1689315208.000907,930664,2492.68994140625
1689315275.5352588,938572,2549.0
1689315314.104747,943332,2578.669921875
1689315329.2914684,945208,2597.530029296875
1689315339.7891,946484,2575.25
1689315350.6914294,947832,2573.47998046875
1689315354.9484606,948364,2573.47998046875
1689315389.6730611,952652,2587.31005859375
1689315394.45486,953224,2568.489990234375
1689315440.2692885,958876,2551.0400390625
1689315470.3430114,962592,2538.7900390625
1689315523.0935297,969132,2575.39990234375
1689315536.5956187,970756,2581.090087890625
1689315569.037503,974748,2588.719970703125
1689315669.981924,987164,2620.7099609375
1689315695.1878362,990272,2646.429931640625
1689315712.5491405,992400,2651.090087890625
1689315786.7687426,1001552,2698.85009765625
1689315809.5954452,1004336,2699.550048828125
1689315821.7365253,1005812,2686.7099609375
1689315831.1187623,1006964,2683.409912109375
